,City,Country,Latitude,Longitude,Cloudiness,Humidity,Temperature,Wind Speed
0,Soyo,AO,-6.1349,12.3689,42,88,74.37,7.47
1,Atuona,PF,-9.8,-139.0333,36,68,77.85,20.92
2,Port Elizabeth,ZA,-33.918,25.5701,90,100,57.49,16.11
3,Kapaa,US,22.0752,-159.319,40,66,81.55,3.0
4,Maierus,RO,45.9,25.5333,10,74,53.46,1.28
5,Gogrial,SS,8.5332,28.1004,100,98,70.21,4.27
6,San Andres,CO,12.5847,-81.7006,90,94,75.22,4.61
7,Puerto Ayora,EC,-0.7393,-90.3518,74,92,69.55,5.01
8,Shitanjing,CN,39.2342,106.3439,100,60,64.62,13.89
9,Noumea,NC,-22.2763,166.4572,1,68,76.98,2.71
10,Acapulco,MX,16.8634,-99.8901,93,79,81.01,4.83
11,Khrenovoye,RU,51.12,40.2889,93,54,64.58,10.96
12,Hithadhoo,MV,-0.6,73.0833,9,75,83.08,9.62
13,Luangwa,ZM,-15.6167,30.4167,43,46,72.75,2.08
14,Jamestown,US,42.097,-79.2353,90,93,64.04,5.99
15,Kitimat,CA,54.0524,-128.6534,100,68,57.9,2.35
16,East London,ZA,-33.0153,27.9116,100,75,65.73,14.16
17,Yabelo,ET,4.8833,38.0833,88,55,63.23,10.67
18,Hermanus,ZA,-34.4187,19.2345,90,76,53.8,8.79
19,Novoagansk,RU,61.9449,76.6625,100,97,37.45,11.95
20,Souillac,MU,-20.5167,57.5167,75,78,70.18,18.41
21,Paamiut,GL,61.994,-49.6678,3,71,37.94,25.59
22,Merauke,ID,-8.4667,140.3333,93,85,78.91,12.5
23,Plattsburgh,US,44.6995,-73.4529,28,53,69.33,1.01
24,Stornoway,GB,58.2093,-6.3865,90,94,55.36,6.91
25,Airai,TL,-8.9266,125.4092,44,85,58.84,2.91
26,Nagato,JP,34.3833,131.2,100,90,73.35,9.1
27,Zholymbet,KZ,51.7433,71.7122,51,61,47.5,12.08
28,San Patricio,US,28.017,-97.5169,100,88,80.47,22.12
29,Pisco,PE,-13.7,-76.2167,20,82,62.65,5.14
30,Iqaluit,CA,63.7506,-68.5145,75,64,35.33,18.41
31,Saint-Augustin,CA,51.226,-58.6502,61,75,57.94,10.54
32,Saint-Philippe,RE,-21.3585,55.7679,56,79,67.41,14.5
33,Ambo,PE,-10.1308,-76.2047,38,59,70.5,10.71
34,Kysyl-Syr,RU,63.8986,122.7617,100,96,50.34,5.84
35,Linxia,CN,35.6003,103.2064,100,78,61.23,0.83
36,Nova Olimpia,BR,-14.7972,-57.2881,93,34,90.14,3.22
37,Skogn,NO,63.7,11.2,100,82,45.77,5.88
38,Te Anau,NZ,-45.4167,167.7167,47,82,38.98,3.51
39,Esperance,AU,-33.8667,121.9,0,85,48.04,9.37
40,Butaritari,KI,3.0707,172.7902,43,78,82.13,17.02
41,Mestia,GE,43.0458,42.7278,12,93,50.14,1.95
42,Saint-Francois,FR,46.4154,3.9054,0,88,63.84,2.3
43,Darhan,MN,49.4867,105.9228,100,53,57.06,5.77
44,Lebu,CL,-37.6167,-73.65,1,71,49.75,11.54
45,Provideniya,RU,64.3833,-173.3,90,76,46.51,13.42
46,Issoire,FR,45.55,3.25,96,72,69.06,5.23
47,Cape Town,ZA,-33.9258,18.4232,0,76,54.45,4.0
48,Avera,US,33.194,-82.5271,100,37,86.58,2.35
49,Marzuq,YE,14.4,46.4667,40,31,83.35,3.91
50,Chuy,UY,-33.6971,-53.4616,78,98,58.75,2.86
51,Rikitea,PF,-23.1203,-134.9692,65,74,74.19,10.42
52,Acarau,BR,-2.8856,-40.12,15,83,79.0,15.88
53,Ancud,CL,-41.8697,-73.8203,86,74,49.53,8.19
54,Lompoc,US,34.6391,-120.4579,75,71,75.99,5.99
55,Tornio,FI,65.8481,24.1466,100,97,41.02,19.71
56,Hilo,US,19.7297,-155.09,2,77,81.01,5.01
57,Avarua,CK,-21.2078,-159.775,16,69,77.05,13.8
58,Barrow,US,71.2906,-156.7887,100,81,38.3,12.12
59,Waipawa,NZ,-41.4122,175.5153,90,92,45.93,15.86
60,Kodiak,US,57.79,-152.4072,99,77,52.16,10.71
61,Puerto Leguizamo,CO,-0.1934,-74.7819,87,71,81.09,1.68
62,Fairbanks,US,64.8378,-147.7164,90,55,59.31,0.0
63,Kavieng,PG,-2.5744,150.7967,90,78,82.49,14.07
64,Mandalgovi,MN,45.7625,106.2708,100,48,56.03,9.1
65,Luderitz,NA,-26.6481,15.1594,0,73,53.98,15.93
66,Zwedru,LR,6.0667,-8.1281,100,99,72.19,2.1
67,Lakefield,US,43.6775,-95.1717,90,73,72.0,4.61
68,Beyneu,KZ,45.3167,55.2,51,39,71.56,12.93
69,Hasaki,JP,35.7333,140.8333,97,66,70.2,10.65
70,Namibe,AO,-15.1961,12.1522,76,87,64.04,6.67
71,Puri,IN,19.8,85.85,100,83,82.78,19.66
72,Georgetown,MY,5.4112,100.3354,20,89,77.54,2.3
73,Alta Floresta,BR,-9.8756,-56.0861,49,74,75.79,4.32
74,Arraial Do Cabo,BR,-22.9661,-42.0278,0,88,73.26,12.66
75,Kulhudhuffushi,MV,6.6221,73.07,47,78,82.24,15.17
76,Hofn,IS,64.2539,-15.2082,52,72,50.85,27.58
77,Zambezi,ZM,-13.5432,23.1047,10,28,69.62,5.55
78,Ribeira Grande,PT,38.5167,-28.7,70,93,72.21,6.53
79,Quzhou,CN,28.9594,118.8686,39,96,72.55,4.27
80,Mabaruma,GY,8.2,-59.7833,20,79,84.2,16.11
81,Bambous Virieux,MU,-20.3428,57.7575,75,78,70.05,18.41
82,Ponta Do Sol,PT,32.6667,-17.1,18,75,71.26,10.51
83,Kuito,AO,-12.3833,16.9333,67,35,66.97,3.56
84,Haines Junction,CA,60.7522,-137.5108,100,47,57.15,6.91
85,Panguna,PG,-6.3164,155.4848,53,72,76.95,2.91
86,Kaeo,NZ,-35.1,173.7833,85,87,63.32,9.26
87,Inyonga,TZ,-6.7167,32.0667,85,37,74.21,6.2
88,Yulara,AU,-25.2406,130.9889,31,26,55.24,10.36
89,Kavaratti,IN,10.5669,72.642,100,81,80.96,21.3
90,Albany,US,42.6001,-73.9662,65,60,70.97,8.66
91,Karasjok,NO,69.4719,25.5112,100,90,42.91,13.24
92,Komatipoort,ZA,-25.4332,31.9548,0,86,62.06,5.39
93,Mahebourg,MU,-20.4081,57.7,75,78,70.09,18.41
94,Bubaque,GW,11.2833,-15.8333,100,85,78.42,8.23
95,Lombardia,MX,19.15,-102.0333,100,93,72.57,1.88
96,San Jose,US,37.3394,-121.895,1,41,85.75,5.01
97,Constitucion,CL,-35.3333,-72.4167,13,69,52.11,6.8
98,Fortuna,US,40.5982,-124.1573,1,67,64.56,5.01
99,Artyom,AZ,40.4723,50.333,0,76,71.74,21.14
100,Olafsvik,IS,64.8945,-23.7142,92,74,47.7,31.38
101,Busselton,AU,-33.65,115.3333,2,84,39.04,5.77
102,George,ZA,-33.963,22.4617,90,94,53.15,3.44
103,Martapura,ID,-3.4167,114.85,75,88,77.09,2.3
